DATE,LRRE,ANN,CSE,CC,CD,GL,BSCE
15-12-2025,,A-LAB,A,A,A,,
16-12-2025,A-LAB,A-LAB,,,A,A-LAB,
17-12-2025,,p,P-P,P,P,,
18-12-2025,P-LAB,,,P-LAB,,P-LAB,
19-12-2-25,,P,,P,P-LAB,,
20-12-2025,,,,,,,
21-12-2025,,,,,,,
22-12-2025,P-LAB,,P-P,P,P,,
23-12-2025,A-LAB,A-LAB,,,,A-LAB,
24-12-2025,,A-LAB,A-A,A,A,,
25-12-2025,,,,,,,
26-12-2025,,,,A,A-LAB+A,,
27-12-2025,,A,,,,,
28-12-2025,,,,,,,
29-12-2025,,P,P,P-LAB,,,
30-12-2025,,P,,P,P,P-LAB,
31-12-2025,,P,P,P,P-LAB,,
01-01-2026,,,,,A,A-LAB,A-LAB
02-01-2026,,P-LAB,P,P,P,,
